"gene_id","SRR1177997","SRR1177999","SRR1178002","SRR1178014","SRR1178021","SRR1178047","SRR1177963","SRR1177964","SRR1177965"
"NM_001011942","211","231","219","226","321","311","267","217","291"
"NM_001127484","74","101","85","117","56","48","57","53","50"
"NM_001107604","1076","1089","1019","1832","2417","3195","1581","1447","1523"
"NM_022700","248","218","255","233","320","322","212","200","172"
"NM_080890","3608","4459","4236","4082","4323","3635","5033","5208","5275"
"NM_019349","764","778","705","945","1139","1077","705","620","675"
"NM_001007602","2405","2439","2107","2826","3935","3887","1624","1948","1924"
"NM_001164103","4","4","3","2","3","4","1","1","5"
"NM_031552","0","0","0","0","0","0","0","0","0"
"NM_131913","1325","1710","1300","1720","2512","2763","1479","1667","1111"
"NM_013160","3","8","14","9","37","9","5","8","4"
"NM_001106200","0","0","0","0","0","0","3","0","2"
"NM_023101","93","133","123","152","176","238","112","145","95"
"NM_001113743","0","0","0","0","0","0","0","0","0"
"NM_001107443","0","0","0","0","0","0","0","0","0"
"NM_012959","282","306","142","373","124","75","4","52","4"
"NM_001303537","0","0","0","0","0","0","0","0","0"
"NM_001079705","23","28","14","47","70","85","17","21","16"
"NM_013031","83","104","97","75","112","138","100","91","107"
"NM_001107447","178","159","143","114","292","248","159","165","144"
"NM_030829","144","167","171","308","504","336","93","129","112"
"NM_001099460","0","0","0","0","0","0","0","0","0"
"NM_001099458","0","0","0","0","0","0","0","0","0"
"NM_001099462","0","0","0","0","0","0","0","0","0"
"NM_001099459","0","0","0","0","0","0","0","0","0"
"NM_001161691","2","0","0","2","0","8","8","2","0"
"NM_001013063","0","0","0","0","0","0","0","0","0"
"NM_013073","535","657","592","665","900","878","615","616","569"
